Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,4.02,4.64,3.96,4.58,4.58,4854470
2020-12-14,4.17,4.2,3.91,4.06,4.06,2126479
2020-12-11,4.24,4.3,4.015,4.11,4.11,2265136
2020-12-10,4.14,4.46,4.12,4.39,4.39,1889188
2020-12-09,4.78,4.81,4.17,4.29,4.29,3733818
2020-12-08,4.9,4.92,4.5,4.78,4.78,3403589
2020-12-07,4.5,5.27,4.26,4.87,4.87,10259943
2020-12-04,4.52,4.62,4.22,4.28,4.28,3154882
2020-12-03,4.33,4.72,4.28,4.41,4.41,5052700
2020-12-02,3.9767,4.45,3.77,4.1,4.1,5821471
2020-12-01,5.09,5.11,4.25,4.25,4.25,6089743
2020-11-30,5.65,5.68,4.76,5.05,5.05,5662919
2020-11-27,5.97,5.98,5.5,5.6,5.6,3653840
2020-11-25,5.81,6.4499,5.34,5.53,5.53,6803997
2020-11-24,7.2,8.0,5.83,6.3,6.3,12039427
2020-11-23,5.775,7.0,5.7,6.96,6.96,17827720
2020-11-20,4.8198,6.44,4.64,5.45,5.45,36882364
2020-11-19,4.13,4.7,4.0,4.52,4.52,7391506
2020-11-18,3.89,4.22,3.86,3.99,3.99,5448775
2020-11-17,3.7,3.89,3.55,3.87,3.87,4282031
2020-11-16,3.28,4.15,3.25,4.07,4.07,17226485
2020-11-13,3.23,3.62,3.06,3.25,3.25,17096986
2020-11-12,2.95,3.11,2.82,2.94,2.94,2347005
2020-11-11,3.07,3.15,2.918,2.96,2.96,1596721
2020-11-10,3.26,3.2954,3.05,3.06,3.06,1719315
2020-11-09,3.35,3.48,3.16,3.36,3.36,4234016
2020-11-06,3.1,3.25,2.95,3.07,3.07,3086430
2020-11-05,2.8,3.18,2.76,3.08,3.08,4997672
2020-11-04,2.77,2.875,2.71,2.74,2.74,2153812
2020-11-03,2.84,2.93,2.755,2.81,2.81,2217021
2020-11-02,2.82,3.05,2.75,2.9,2.9,2767644
2020-10-30,2.84,2.93,2.65,2.82,2.82,1962916
2020-10-29,2.715,3.19,2.62,3.01,3.01,6065308
2020-10-28,2.82,2.86,2.69,2.715,2.715,1373895
2020-10-27,2.91,3.05,2.76,2.88,2.88,8248544
2020-10-26,2.8393,2.8599,2.67,2.71,2.71,1086072
2020-10-23,2.82,2.92,2.75,2.86,2.86,1084023
2020-10-22,2.78,2.93,2.66,2.87,2.87,1832771
2020-10-21,2.77,2.92,2.76,2.8,2.8,1416168
2020-10-20,3.08,3.08,2.55,2.81,2.81,3564338
2020-10-19,3.15,3.2186,3.0,3.07,3.07,2704144
2020-10-16,3.25,3.36,3.1,3.16,3.16,2985754
2020-10-15,3.1,3.5299,3.0,3.39,3.39,14034444
2020-10-14,3.16,3.23,3.01,3.13,3.13,3332352
2020-10-13,3.36,3.65,3.13,3.23,3.23,6443579
2020-10-12,3.4,3.44,3.1093,3.2,3.2,4353845
2020-10-09,3.48,3.84,3.4,3.52,3.52,8449902
2020-10-08,3.75,3.94,3.3,3.58,3.58,10469702
2020-10-07,4.59,4.85,3.73,4.06,4.06,88063553
2020-10-06,2.6,3.4,2.51,2.8,2.8,30421609
2020-10-05,2.29,2.8,2.28,2.59,2.59,13489908
2020-10-02,2.125,2.49,2.09,2.35,2.35,6302627
2020-10-01,2.26,2.44,2.22,2.33,2.33,6033854
2020-09-30,2.675,2.85,2.45,2.54,2.54,10033936
2020-09-29,2.67,2.76,2.27,2.48,2.48,13908331
2020-09-28,2.1,3.44,1.88,2.97,2.97,77536419
2020-09-25,2.99,3.05,1.97,2.09,2.09,46536924
2020-09-24,4.6,8.5,3.3,3.93,3.93,267806139
2020-09-23,0.7777,4.57,0.7325,1.16,1.16,110521009
2020-09-22,0.81,0.8184,0.71,0.7714,0.7714,2403821
2020-09-21,0.84,0.879399,0.78,0.835,0.835,2141703
2020-09-18,0.8,0.89,0.7916,0.84,0.84,4338749
2020-09-17,0.75,0.8098,0.7012,0.783,0.783,1002853
2020-09-16,0.79,0.81,0.76,0.778,0.778,1471349
2020-09-15,0.804,0.8499,0.765,0.8018,0.8018,3990692
2020-09-14,0.72,0.77,0.6665,0.765,0.765,3739026
2020-09-11,0.6045,0.73,0.6,0.6902,0.6902,4440372
2020-09-10,0.657,0.66,0.5985,0.6012,0.6012,515039
2020-09-09,0.68,0.68,0.6231,0.65,0.65,388192
2020-09-08,0.6104,0.694,0.61,0.6763,0.6763,1129418
2020-09-04,0.579,0.605,0.5175,0.5949,0.5949,1083603
2020-09-03,0.633,0.646,0.5685,0.58,0.58,886259
2020-09-02,0.685,0.7064,0.6301,0.646,0.646,825984
2020-09-01,0.7133,0.72,0.6601,0.6801,0.6801,989497
2020-08-31,0.723,0.73,0.7121,0.7249,0.7249,903167
2020-08-28,0.7099,0.7374,0.7022,0.7355,0.7355,826100
2020-08-27,0.77,0.77,0.706,0.7254,0.7254,1529288
2020-08-26,0.7,0.831,0.7,0.7559,0.7559,3856238
2020-08-25,0.688,0.739,0.68,0.72,0.72,1710225
2020-08-24,0.73,0.75,0.66,0.695,0.695,3916880
2020-08-21,0.88,0.94,0.7225,0.761,0.761,4292383
2020-08-20,0.87,0.959799,0.83,0.89,0.89,5721979
2020-08-19,0.8732,1.05,0.85,0.93,0.93,9442420
2020-08-18,0.72,1.15,0.71,0.9,0.9,23626204
2020-08-17,0.74,0.74,0.69,0.7049,0.7049,974654
2020-08-14,0.76,0.76,0.7134,0.741,0.741,1019806
2020-08-13,0.73,0.82,0.73,0.7533,0.7533,2382642
2020-08-12,0.84,0.845051,0.7001,0.7244,0.7244,3019963
2020-08-11,1.0,1.03,0.8333,0.8403,0.8403,5994438
2020-08-10,1.28,1.3,1.1919,1.24,1.24,4082271
2020-08-07,1.32,1.3334,1.22,1.27,1.27,1269336
2020-08-06,1.42,1.43,1.28,1.32,1.32,1183366
2020-08-05,1.56,1.58,1.35,1.38,1.38,1887356
2020-08-04,1.51,1.605,1.45,1.5,1.5,3139864
2020-08-03,1.32,1.46,1.31,1.39,1.39,1796574
2020-07-31,1.34,1.44,1.26,1.32,1.32,2217917
2020-07-30,1.27,1.32,1.2,1.29,1.29,1226398
2020-07-29,1.42,1.45,1.28,1.36,1.36,1872841
2020-07-28,1.13,1.49,1.13,1.38,1.38,6514526
2020-07-27,1.22,1.3,1.13,1.18,1.18,2114919
2020-07-24,1.2987,1.35,1.13,1.31,1.31,4632521
2020-07-23,1.45,1.82,1.28,1.35,1.35,32386301
2020-07-22,1.02,1.37,1.02,1.33,1.33,18209251
2020-07-21,0.92,1.0,0.92,0.96,0.96,1775727
2020-07-20,0.92,0.952,0.85,0.929,0.929,2195245
2020-07-17,0.859,1.17,0.84,0.895,0.895,12801818
2020-07-16,0.817,0.889,0.78,0.83,0.83,1382999
