Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,10.2,10.25,10.19,10.25,10.25,11292
2020-08-25,10.25,10.25,10.2,10.24,10.24,45375
2020-08-24,10.21,10.25,10.15,10.2,10.2,1873880
2020-08-21,10.21,10.21,10.16,10.2,10.2,130574
2020-08-20,10.19,10.315,10.19,10.25,10.25,35453
2020-08-19,10.35,10.35,10.19,10.19,10.19,9425
2020-08-18,10.275,10.35,10.275,10.3,10.3,5279
2020-08-17,10.36,10.36,10.31,10.35,10.35,1834
2020-08-14,10.37,10.37,10.2,10.31,10.31,86485
2020-08-13,10.25,10.35,10.21,10.35,10.35,15070
2020-08-12,10.2,10.28,10.19,10.2,10.2,14530
2020-08-11,10.24,10.24,10.24,10.24,10.24,332
2020-08-10,10.35,10.35,10.21,10.21,10.21,42225
2020-08-07,10.36,10.36,10.28,10.28,10.28,377918
2020-08-06,10.36,10.36,10.3198,10.35,10.35,724364
2020-08-05,10.32,10.36,10.32,10.34,10.34,157446
2020-08-04,10.35,10.38,10.24,10.32,10.32,213365
2020-08-03,10.2,10.33,10.1724,10.33,10.33,95951
2020-07-31,10.16,10.2591,10.1392,10.2,10.2,757451
2020-07-30,10.23,10.29,10.21,10.25,10.25,81522
2020-07-29,10.24,10.25,10.2,10.2,10.2,85526
2020-07-28,10.21,10.33,10.21,10.28,10.28,6276
2020-07-27,10.2,10.31,10.15,10.3,10.3,79991
2020-07-24,10.03,10.15,10.03,10.14,10.14,1744
2020-07-23,10.03,10.13,10.03,10.09,10.09,51234
2020-07-22,10.2,10.2,10.07,10.08,10.08,729
2020-07-21,10.2,10.26,10.14,10.14,10.14,112317
2020-07-20,10.16,10.19,10.16,10.19,10.19,1276
2020-07-17,10.0,10.1,10.0,10.1,10.1,74800
2020-07-16,10.04,10.05,10.04,10.05,10.05,270
2020-07-15,10.1,10.1,10.08,10.08,10.08,2900
2020-07-14,10.07,10.1,10.04,10.04,10.04,84500
2020-07-13,10.05,10.1,10.05,10.06,10.06,175700
2020-07-10,10.07,10.11,10.07,10.08,10.08,19400
2020-07-09,9.94,10.12,9.94,10.1,10.1,625700
2020-07-08,9.98,9.98,9.98,9.98,9.985,30
2020-07-07,9.98,9.98,9.98,9.98,9.985,0
2020-07-06,10.09,10.09,9.98,9.98,9.985,452400
2020-07-02,10.0,10.01,9.94,9.94,9.945,119800
2020-07-01,10.05,10.06,9.99,10.06,10.059,2700
2020-06-30,9.99,10.05,9.99,10.05,10.047,320
2020-06-29,10.05,10.05,10.04,10.04,10.04,140300
2020-06-26,9.8501,9.995,9.8501,9.96,9.96,256225
2020-06-25,9.96,9.96,9.96,9.96,9.96,200001
2020-06-24,10.0199,10.0199,10.0199,10.0199,10.0199,104
2020-06-23,9.98,10.03,9.98,10.03,10.03,210
2020-06-22,9.96,10.0,9.96,10.0,10.0,51057
2020-06-19,9.9,9.95,9.88,9.95,9.95,12049
2020-06-18,9.83,9.83,9.83,9.83,9.83,0
2020-06-17,9.83,9.83,9.83,9.83,9.83,0
2020-06-16,9.92,9.92,9.83,9.83,9.83,101081
2020-06-15,9.83,9.83,9.83,9.83,9.83,44
2020-06-12,9.83,9.84,9.83,9.83,9.83,27774
2020-06-11,9.86,9.86,9.82,9.82,9.82,227
2020-06-10,9.86,9.86,9.86,9.86,9.86,1853
2020-06-09,9.83,9.83,9.83,9.83,9.83,14
2020-06-08,9.83,9.83,9.83,9.83,9.83,41
2020-06-05,9.83,9.83,9.83,9.83,9.83,250000
2020-06-04,9.75,9.86,9.75,9.86,9.86,355254
2020-06-03,9.84,9.84,9.84,9.84,9.84,172
2020-06-02,9.83,9.84,9.83,9.84,9.84,625150
2020-06-01,9.825,9.85,9.825,9.85,9.85,400
2020-05-29,9.85,9.85,9.85,9.85,9.85,100
2020-05-28,9.85,9.85,9.85,9.85,9.85,1805
2020-05-27,9.811,9.811,9.811,9.811,9.811,0
2020-05-26,9.811,9.811,9.811,9.811,9.811,182
2020-05-22,9.85,9.85,9.85,9.85,9.85,0
2020-05-21,9.75,9.85,9.75,9.85,9.85,300
