Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,2.21,2.29,2.16,2.2,2.2,1934185
2020-06-24,2.29,2.31,2.11,2.25,2.25,3114589
2020-06-23,2.51,2.57,2.26,2.31,2.31,6483014
2020-06-22,2.27,2.33,2.21,2.24,2.24,2049411
2020-06-19,2.23,2.43,2.16,2.31,2.31,4345287
2020-06-18,2.19,2.29,2.1,2.19,2.19,2677465
2020-06-17,2.28,2.305,2.21,2.25,2.25,3537370
2020-06-16,2.44,2.45,2.28,2.42,2.42,2981831
2020-06-15,2.25,2.46,2.16,2.36,2.36,3294402
2020-06-12,2.42,2.45,2.27,2.31,2.31,2553963
2020-06-11,2.4,2.5,2.28,2.36,2.36,3767238
2020-06-10,2.64,2.64,2.51,2.53,2.53,4550304
2020-06-09,2.62,2.7,2.52,2.6,2.6,3412998
2020-06-08,2.72,2.84,2.6,2.62,2.62,5932870
2020-06-05,2.56,2.75,2.53,2.61,2.61,4220767
2020-06-04,2.6,2.89,2.48,2.63,2.63,7699898
2020-06-03,2.9,2.99,2.65,2.75,2.75,9837905
2020-06-02,2.39,3.31,2.3,3.08,3.08,31082452
2020-06-01,2.54,2.61,2.4,2.48,2.48,5259745
2020-05-29,2.65,2.7,2.51,2.59,2.59,5106099
2020-05-28,2.62,2.87,2.5101,2.67,2.67,7369695
2020-05-27,2.76,2.8,2.51,2.59,2.59,8773360
2020-05-26,3.05,3.11,2.71,2.85,2.85,12737380
2020-05-22,2.99,3.35,2.81,3.03,3.03,16739438
2020-05-21,2.75,3.46,2.34,3.09,3.09,63547152
2020-05-20,3.21,4.8891,2.81,2.96,2.96,147139202
2020-05-19,1.24,3.97,1.14,3.4,3.4,331855208
2020-05-18,0.79,0.79,0.7568,0.7698,0.7698,660625
2020-05-15,0.78,0.824,0.73,0.7997,0.7997,457560
2020-05-14,0.765,0.78,0.705,0.78,0.78,949733
2020-05-13,0.8895,0.8895,0.74,0.8386,0.8386,836561
2020-05-12,0.965,0.97,0.84,0.8686,0.8686,1258564
2020-05-11,0.8908,1.07,0.82,0.9809,0.9809,2353657
2020-05-08,0.79,1.02,0.79,0.904,0.904,3992148
2020-05-07,0.7598,0.835,0.7401,0.7826,0.7826,1854681
2020-05-06,0.74,0.74,0.705,0.73,0.73,579122
2020-05-05,0.761,0.79,0.721,0.7474,0.7474,833401
2020-05-04,0.79,0.8199,0.74,0.76,0.76,996487
2020-05-01,0.88,0.88,0.725,0.768,0.768,2413099
2020-04-30,0.753,0.99,0.7341,0.8127,0.8127,10934717
2020-04-29,0.7599,0.77,0.733,0.76,0.76,993177
2020-04-28,0.785,0.785,0.743,0.754,0.754,889150
2020-04-27,0.77,0.7799,0.7414,0.774,0.774,1806749
2020-04-24,0.77,0.77,0.7111,0.74,0.74,1605325
2020-04-23,0.76,0.77,0.7359,0.7566,0.7566,1974504
2020-04-22,0.8,0.88,0.65,0.7001,0.7001,5608524
2020-04-21,1.22,1.23,1.03,1.03,1.03,759282
2020-04-20,1.3,1.32,1.18,1.24,1.24,723036
2020-04-17,1.29,1.35,1.21,1.28,1.28,455150
2020-04-16,1.56,1.6,1.26,1.34,1.34,1007787
2020-04-15,1.19,1.66,1.14,1.49,1.49,1946717
2020-04-14,0.99,1.2199,0.989001,1.14,1.14,695213
2020-04-13,1.03,1.05,0.88,0.9455,0.9455,1286337
2020-04-09,0.89,1.37,0.84,1.08,1.08,1943075
2020-04-08,0.78,0.889999,0.7451,0.84,0.84,196138
2020-04-07,0.82,0.8684,0.7469,0.824899,0.824899,203182
2020-04-06,0.9888,0.9888,0.70011,0.71,0.71,161245
2020-04-03,0.7,0.7156,0.51,0.649,0.649,155295
2020-04-02,0.7876,0.8249,0.7135,0.7213,0.7213,103908
2020-04-01,0.9,0.9,0.7,0.7501,0.7501,247677
2020-03-31,1.15,1.15,0.86,0.94,0.94,555516
2020-03-30,1.07,1.54,0.86,1.15,1.15,3007971
2020-03-27,0.7152,0.8949,0.7,0.8502,0.8502,249875
2020-03-26,0.7374,0.7374,0.69,0.6971,0.6971,49444
2020-03-25,0.74,0.74,0.69,0.7399,0.7399,34476
2020-03-24,0.69,0.74,0.69,0.7339,0.7339,22835
2020-03-23,0.7115,0.7115,0.6501,0.7065,0.7065,29690
2020-03-20,0.71,0.77,0.602,0.7462,0.7462,22059
2020-03-19,0.6803,0.7999,0.625,0.7,0.7,106929
2020-03-18,0.7277,0.7277,0.65,0.6601,0.6601,33361
2020-03-17,0.79,0.8199,0.75,0.8,0.8,36760
2020-03-16,0.86,0.86,0.78,0.8456,0.8456,46057
2020-03-13,0.88,0.985,0.88,0.98,0.98,16267
2020-03-12,0.88,1.0,0.83,0.8802,0.8802,36851
2020-03-11,1.03,1.08,1.0,1.06,1.06,26515
2020-03-10,1.06,1.19,1.02,1.05,1.05,38609
2020-03-09,1.13,1.15,1.0,1.08,1.08,96497
2020-03-06,1.28,1.3,1.2161,1.27,1.27,30697
2020-03-05,1.29,1.3719,1.25,1.28,1.28,58097
2020-03-04,1.37,1.37,1.21,1.2801,1.2801,34830
2020-03-03,1.32,1.32,1.25,1.2695,1.2695,17419
2020-03-02,1.32,1.3699,1.18,1.27,1.27,42507
2020-02-28,1.3,1.38,1.15,1.33,1.33,80924
2020-02-27,1.27,1.3,1.27,1.295,1.295,69091
2020-02-26,1.28,1.336,1.27,1.275,1.275,43907
2020-02-25,1.26,1.29,1.26,1.27,1.27,72131
2020-02-24,1.29,1.31,1.26,1.28,1.28,98352
2020-02-21,1.36,1.4,1.3396,1.35,1.35,19937
